id,lang,type
1989 Tiananmen Square protests,en,article
BabelStone,en,user
Ifnord,en,user
DittyReacts,en,user
Ipeedmypants lol,en,user
92.67.15.105,en,user
Auspicious bwszd,en,user
HaeB,en,user
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,en,user
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,en,user
Corn Kernel,en,user
Wcam,en,user
Havsjö,en,user
2607:fea8:a240:110:d124:56e5:7c1c:d02f,en,user
36.71.235.186,en,user
El C,en,user
113.20.22.71,en,user
113.20.22.103,en,user
ClueBot NG,en,user
Helpmechoose696969,en,user
Azboi,en,user
Rodrigo Valequez,en,user
103.252.200.252,en,user
49.183.58.15,en,user
CLCStudent,en,user
92.40.168.13,en,user
Serols,en,user
46.233.77.19,en,user
24.5.217.173,en,user
Charles Essie,en,user
124.148.179.126,en,user
75.98.137.18,en,user
Iridescent,en,user
49.180.0.62,en,user
2601:188:180:b8e0:65f5:930c:b0b2:cd63,en,user
185.135.2.103,en,user
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,en,user
DemocraticLuntz,en,user
103.93.115.18,en,user
IdreamofJeanie,en,user
81.135.89.7,en,user
DemonDays64 Bot,en,user
Oshwah,en,user
130.65.254.15,en,user
Chris the speller,en,user
211.25.62.90,en,user
LynxTufts,en,user
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,en,user
TheEpicGhosty,en,user
Teddy.Coughlin,en,user
199.85.82.130,en,user
A. Randomdude0000,en,user
2605:a000:1005:822d:6458:387b:b54e:8d80,en,user
Theeddiebear888,en,user
Matthew hk,en,user
Jing345,en,user
Hugo999,en,user
Citobun,en,user
Lutein678,en,user
109.201.38.172,en,user
CaradhrasAiguo,en,user
Elementautumn,en,user
BarryLi,en,user
Monkbot,en,user
Tony1,en,user
Robinlew0,en,user
66.154.176.39,en,user
InternetArchiveBot,en,user
Jusdafax,en,user
BananaX2NUTscholar,en,user
Gog the Mild,en,user
Quindog,en,user
Citation bot,en,user
Thegamingkinh,en,user
216.56.20.114,en,user
“六四事件”的版本历史 - 维基百科，自由的百科全书,zh,article
Wcam,zh,user
ZWH2020ZY,zh,user
Kixean777,zh,user
InternetArchiveBot,zh,user
AlexLeeCN,zh,user
Natureindex,zh,user
BladeRunner2077,zh,user
雷电剑雨,zh,user
Peter-bomb king,zh,user
Techyan,zh,user
Wjabc1996bingnan,zh,user
Shizhao,zh,user
D7CY689,zh,user
420peace,zh,user
アハちゃん,zh,user
朴益顺安,zh,user
乘龙观音,zh,user
Jyxyl9,zh,user
Njzjz,zh,user
No1lovesu,zh,user
Aronlee90,zh,user
Tad (given name),en,article
Mount Kailash,en,article
Mathematical Alphanumeric Symbols,en,article
List of radicals in Unicode,en,article
ISO 3166-1,en,article
List of pagodas in Beijing,en,article
